iter	MultiClass
0	1.376621168
1	1.367883329
2	1.357249166
3	1.349147864
4	1.339185518
5	1.330236502
6	1.322083504
7	1.313757619
8	1.300905377
9	1.289210554
10	1.283267527
11	1.275743255
12	1.268633983
13	1.260862449
14	1.254503026
15	1.24699352
16	1.240853243
17	1.236023883
18	1.226584969
19	1.220272131
20	1.214487957
21	1.205527248
22	1.200911752
23	1.196077357
24	1.19133128
25	1.185429837
26	1.18134656
27	1.17606694
28	1.170786038
29	1.166495439
30	1.158860858
31	1.155170451
32	1.148682663
33	1.142927017
34	1.138767233
35	1.132814534
36	1.128372443
37	1.124042254
38	1.118530733
39	1.115393556
40	1.111386458
41	1.106884268
42	1.104356869
43	1.100712601
44	1.097038846
45	1.094646972
46	1.08969963
47	1.086462161
48	1.083674843
49	1.080055622
50	1.076090658
51	1.072605079
52	1.068624316
53	1.063715259
54	1.060507546
55	1.057032438
56	1.054395394
57	1.051527563
58	1.048602886
59	1.046294725
60	1.042851245
61	1.038830607
62	1.036668982
63	1.032618189
64	1.029707729
65	1.026139435
66	1.024427403
67	1.021993312
68	1.019213809
69	1.015669901
70	1.012884986
71	1.009720735
72	1.006758357
73	1.004241734
74	1.000749698
75	0.9989928344
76	0.9962964266
77	0.9938349422
78	0.991313277
79	0.9876037526
80	0.9852250939
81	0.9832971459
82	0.9813474308
83	0.9785576307
84	0.9760486833
85	0.9748758229
86	0.9727930029
87	0.9709102615
88	0.9679197572
89	0.9652498295
90	0.9621562078
91	0.9600896093
92	0.9575236644
93	0.955172935
94	0.9539157253
95	0.9519864679
96	0.95081978
97	0.9488132181
98	0.9471708099
99	0.945528468
100	0.943374864
101	0.9408461268
102	0.9397685029
103	0.937508092
104	0.9362209913
105	0.9349037449
106	0.9334719858
107	0.9318325746
108	0.9296807969
109	0.9284373699
110	0.9272568658
111	0.925038454
112	0.9224684239
113	0.9206766969
114	0.9186817121
115	0.9163009422
116	0.9152495733
117	0.913534601
118	0.9118771468
119	0.9101012543
120	0.907905046
121	0.9061055817
122	0.9039247456
123	0.9023920538
124	0.9008590387
125	0.8995840036
126	0.897656818
127	0.8968022303
128	0.8951201645
129	0.8930276949
130	0.8915209657
131	0.8903345204
132	0.8887681699
133	0.8873987827
134	0.8856370101
135	0.8834866653
136	0.8825236189
137	0.8812582971
138	0.878880868
139	0.877362806
140	0.8761958327
141	0.8733594605
142	0.8714709238
143	0.8704751644
144	0.8688668062
145	0.8675585185
146	0.8660842502
147	0.864790817
148	0.8640606537
149	0.8626302609
150	0.8603356868
151	0.8589115815
152	0.8571179913
153	0.8553163313
154	0.8534967403
155	0.852448862
156	0.8512450932
157	0.849181454
158	0.8475774003
159	0.8463630402
160	0.8445384992
161	0.8433943059
162	0.8413634565
163	0.8401929886
164	0.8391647378
165	0.8375690994
166	0.8363343803
167	0.8348496565
168	0.8328274102
169	0.8314732369
170	0.8306755253
171	0.8287191593
172	0.8275528749
173	0.8263830573
174	0.8251342624
175	0.8239338041
176	0.8232762625
177	0.8213297602
178	0.8204120849
179	0.8194818745
180	0.8179439761
181	0.8160809942
182	0.8147850992
183	0.8135249879
184	0.811888552
185	0.810721528
186	0.8092281267
187	0.8082639369
188	0.8069476342
189	0.8054546963
190	0.8040159654
191	0.8022202118
192	0.8010091606
193	0.7996539749
194	0.7983052167
195	0.7965503488
196	0.795447105
197	0.7948526428
198	0.7934826078
199	0.7926444511
200	0.79160784
201	0.7905921834
202	0.788899749
203	0.7874758626
204	0.785610204
205	0.7844269706
206	0.7827280778
207	0.78160971
208	0.7807103322
209	0.7787830028
210	0.7778212005
211	0.777286531
212	0.7762478409
213	0.7749377214
214	0.7738857856
215	0.7725720303
216	0.7712769825
217	0.7700303258
218	0.7687324638
219	0.7665330005
220	0.7653270694
221	0.764286066
222	0.763740578
223	0.7624246817
224	0.7599246313
225	0.7593194536
226	0.7585877948
227	0.7573426603
228	0.7567513451
229	0.7555350539
230	0.754594926
231	0.7525298221
232	0.7513175742
233	0.7497834083
234	0.7488871269
235	0.7473889894
236	0.7461568086
237	0.7451788105
238	0.7431233044
239	0.7419401669
240	0.7408699351
241	0.7392361339
242	0.7383118359
243	0.7367676528
244	0.7356174998
245	0.7344863976
246	0.7333409192
247	0.732364057
248	0.7305869218
249	0.7295156215
250	0.7285268226
251	0.7264039891
252	0.7254386115
253	0.7243765731
254	0.7237980827
255	0.7227867946
256	0.7218289746
257	0.7202141975
258	0.719056127
259	0.7172643481
