iter	Passed	Remaining
0	6	1685
1	11	1429
2	15	1291
3	18	1184
4	22	1126
5	27	1150
6	36	1320
7	40	1272
8	44	1227
9	47	1182
10	51	1163
11	57	1195
12	60	1156
13	63	1123
14	66	1087
15	69	1056
16	72	1033
17	74	1006
18	77	985
19	80	969
20	84	965
21	89	965
22	93	965
23	97	960
24	102	962
25	105	948
26	108	935
27	111	920
28	114	908
29	116	892
30	119	884
31	122	874
32	125	861
33	127	850
34	131	843
35	134	836
36	137	828
37	141	824
38	144	818
39	147	813
40	151	808
41	154	800
42	156	790
43	162	798
44	166	795
45	169	788
46	172	783
47	176	777
48	179	773
49	182	766
50	187	766
51	192	769
52	195	762
53	197	754
54	201	749
55	204	746
56	207	739
57	210	734
58	214	730
59	218	729
60	222	726
61	226	723
62	229	717
63	232	711
64	235	705
65	237	699
66	240	693
67	243	687
68	246	681
69	249	676
70	252	673
71	256	670
72	260	666
73	264	664
74	268	662
75	271	658
76	275	654
77	278	649
78	281	644
79	284	639
80	287	634
81	289	628
82	298	637
83	301	631
84	304	626
85	307	621
86	309	616
87	312	611
88	315	605
89	318	601
90	321	596
91	323	591
92	330	593
93	333	589
94	336	585
95	340	581
96	343	577
97	346	573
98	351	572
99	355	568
100	358	564
101	362	561
102	365	557
103	369	553
104	371	549
105	374	544
106	377	539
107	380	535
108	384	532
109	387	528
110	391	525
111	394	521
112	397	517
113	400	513
114	403	509
115	406	504
116	409	500
117	412	496
118	415	492
119	418	488
120	422	485
121	425	480
122	428	477
123	431	473
124	435	470
125	438	466
126	441	462
127	444	458
128	446	453
129	450	450
130	453	446
131	458	444
132	464	443
133	468	440
134	471	436
135	474	432
136	477	428
137	479	424
138	482	420
139	485	416
140	488	412
141	491	408
142	493	404
143	496	399
144	499	396
145	502	392
146	505	388
147	509	385
148	512	382
149	516	378
150	519	375
151	523	371
152	526	368
153	529	364
154	533	361
155	536	357
156	539	354
157	545	352
158	548	348
159	551	344
160	554	340
161	557	337
162	560	333
163	563	329
164	565	325
165	568	321
166	571	318
167	575	314
168	578	311
169	581	307
170	584	304
171	587	300
172	593	298
173	596	294
174	599	291
175	601	287
176	605	283
177	607	280
178	610	276
179	613	272
180	616	269
181	619	265
182	622	261
183	624	258
184	627	254
185	630	250
186	633	247
187	635	243
188	638	239
189	641	236
190	643	232
191	646	229
192	650	225
193	654	222
194	657	219
195	661	216
196	671	214
197	677	212
198	683	209
199	687	206
200	692	203
201	696	199
202	701	196
203	705	193
204	710	190
205	714	187
206	717	183
207	721	180
208	728	177
209	731	174
210	734	170
211	737	166
212	740	163
213	744	160
214	749	156
215	752	153
216	756	149
217	760	146
218	764	143
219	767	139
220	770	135
221	772	132
222	776	128
223	779	125
224	782	121
225	785	118
226	788	114
227	791	111
228	797	108
229	802	104
230	805	101
231	807	97
232	811	93
233	814	90
234	817	86
235	819	83
236	822	79
237	825	76
238	828	72
239	832	69
240	835	65
241	839	62
242	842	58
243	846	55
244	849	52
245	853	48
246	856	45
247	862	41
248	865	38
249	868	34
250	871	31
251	874	27
252	877	24
253	880	20
254	883	17
255	886	13
256	891	10
257	893	6
258	896	3
259	899	0
